month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
April,2024,UNLOADED,CONTAINER (JSW),18.0,14.0,100110.0,128482.0,-22.08
April,2024,UNLOADED,EDIBLE OIL,9.0,10.0,81454.0,117729.0,-30.81
April,2024,UNLOADED,F.R.M. (DRY),0.0,1.0,0.0,22000.0,-100.0
April,2024,UNLOADED,FERTILIZER,1.0,2.0,9000.0,43382.0,-79.25
April,2024,UNLOADED,IRON ORE,0.0,4.0,0.0,262250.0,-100.0
April,2024,UNLOADED,OTH. LIQ. CARGOES,10.0,14.0,57561.0,81076.0,-29.0
April,2024,UNLOADED,OTHER CARGO,5.0,8.0,11404.0,21791.0,-47.67
April,2024,UNLOADED,POL PRODUCTS,11.0,9.0,113881.0,96688.0,17.78
April,2024,UNLOADED,TOTAL CEMENT,1.0,2.0,9950.0,21202.0,-53.07
April,2024,UNLOADED,TOTAL COAL,12.0,13.0,630502.0,771898.0,-18.32
April,2024,UNLOADED,TOTAL CRUDE,14.0,18.0,1394736.0,1668727.0,-16.42
April,2024,UNLOADED,TOTAL LPG,12.0,11.0,228650.0,230101.0,-0.63
May,2024,LOADED,CONTAINER (JSW),5.0,16.0,79117.0,87037.0,-7.34
May,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
May,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
May,2024,LOADED,IRON ORE,1.0,4.0,53500.0,55000.0,-75.67
May,2024,LOADED,OTH.LIQ.CARGOES,0.0,0.0,0.0,0.0,0.0
May,2024,LOADED,OTHER CARGO,0.0,2.0,0.0,3023.0,-23.95
May,2024,LOADED,PETROCHEMICALS,5.0,5.0,127708.0,82299.0,89.44
May,2024,LOADED,POL PRODUCTS,9.0,18.0,338406.0,340060.0,4.63
May,2024,LOADED,TOTAL COAL,4.0,0.0,14399.0,0.0,0.0
May,2024,UNLOADED,CONTAINER (JSW),14.0,28.0,105273.0,178037.0,-33.0
May,2024,UNLOADED,EDIBLE OIL,5.0,16.0,67184.0,41366.0,-6.57
May,2024,UNLOADED,F.R.M. (DRY),0.0,1.0,0.0,0.0,-100.0
May,2024,UNLOADED,FERTILIZER,5.0,4.0,131124.0,77340.0,16.07
May,2024,UNLOADED,IRON ORE,0.0,8.0,0.0,177750.0,-100.0
May,2024,UNLOADED,OTH. LIQ. CARGOES,8.0,31.0,45099.0,85858.0,-38.5
May,2024,UNLOADED,OTHER CARGO,7.0,14.0,25663.0,11145.0,12.54
May,2024,UNLOADED,POL PRODUCTS,9.0,17.0,105652.0,104185.0,9.29
May,2024,UNLOADED,TOTAL CEMENT,1.0,4.0,10710.0,21031.0,-51.08
May,2024,UNLOADED,TOTAL COAL,12.0,23.0,951190.0,615489.0,14.01
May,2024,UNLOADED,TOTAL CRUDE,14.0,34.0,1358981.0,1438183.0,-11.37
May,2024,UNLOADED,TOTAL LPG,10.0,26.0,207323.0,233714.0,-6.0
June,2024,LOADED,CONTAINER (JSW),4.0,26.0,77399.0,86647.0,-8.47
June,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
June,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
June,2024,LOADED,IRON ORE,3.0,9.0,124407.0,270278.0,-63.71
June,2024,LOADED,OTH.LIQ.CARGOES,1.0,0.0,4705.0,0.0,0.0
June,2024,LOADED,OTHER CARGO,0.0,2.0,0.0,0.0,-23.95
June,2024,LOADED,PETROCHEMICALS,5.0,7.0,124259.0,61146.0,93.91
June,2024,LOADED,POL PRODUCTS,11.0,31.0,459418.0,461301.0,2.6
June,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,9100.0,75.8
June,2024,UNLOADED,CONTAINER (JSW),15.0,38.0,135134.0,130309.0,-22.05
June,2024,UNLOADED,EDIBLE OIL,6.0,25.0,61237.0,85582.0,-14.22
June,2024,UNLOADED,F.R.M. (DRY),0.0,1.0,0.0,0.0,-100.0
June,2024,UNLOADED,FERTILIZER,1.0,7.0,40000.0,88421.0,-13.88
June,2024,UNLOADED,IRON ORE,1.0,9.0,55000.0,54877.0,-88.89
June,2024,UNLOADED,OTH. LIQ. CARGOES,8.0,38.0,45645.0,45031.0,-30.03
June,2024,UNLOADED,OTHER CARGO,5.0,17.0,12467.0,15770.0,1.7
June,2024,UNLOADED,POL PRODUCTS,11.0,25.0,118819.0,90730.0,16.03
June,2024,UNLOADED,TOTAL CEMENT,1.0,5.0,10354.0,9939.0,-40.55
June,2024,UNLOADED,TOTAL COAL,16.0,28.0,822488.0,226206.0,49.0
June,2024,UNLOADED,TOTAL CRUDE,21.0,55.0,1564079.0,1645302.0,-9.14
